"id","year","month","day","lon","lat","Size_class","catch","fhours","sst","sstsource","bathy","slp"
"2000_104479_41_10_14",2000,10,14,-64.5,44,"small",0,12,13.2799997329712,"OISST",-65.3,101442
"2000_104479_42_10_16",2000,10,16,-64.6333333333333,43.9666666666667,"small",0,9,12.789999961853,"OISST",-39.7,102487
"2000_104479_43_10_17",2000,10,17,-64.55,43.9666666666667,"small",0,8,12.5500001907349,"OISST",-55.4,102667
"2000_104479_5_8_18",2000,8,18,-64.6666666666667,43.8666666666667,"small",0,12,16.7799987792969,"OISST",-43.3,101400
"2000_104479_8_8_23",2000,8,23,-64.2166666666667,44.2,"small",0,15,16.9599990844727,"OISST",-52.3,102180
"2000_104479_9_8_24",2000,8,24,-64.2,44.2,"small",0,7,16.1399993896484,"OISST",-63.4,101427
"2000_104558_15_10_23",2000,10,23,-61.4666666666667,45.0833333333333,"small",0,3,11.4499998092651,"OISST",-33.9,103440
"2000_104558_18_10_27",2000,10,27,-61.4,45.1,"small",0,12,10.7799997329712,"OISST",-36.3,102060
"2000_104558_3_9_25",2000,9,25,-61.4,45.1,"small",0,8,12.3499994277954,"OISST",-36.3,101027
"2000_104585_17_10_26",2000,10,26,-61.4,45.1,"small",0,9.6,11.1099996566772,"OISST",-36.3,102390
"2000_104585_18_10_28",2000,10,28,-61.4,45.1,"small",0,13.5,10.6399993896484,"OISST",-36.3,100917
"2000_104585_3_9_23",2000,9,23,-61.3333333333333,45.1333333333333,"small",0,10,12.5599994659424,"OISST",-44.6,101912
"2000_104585_7_9_28",2000,9,28,-61.3333333333333,45.1333333333333,"small",0,8.5,12.4200000762939,"OISST",-44.6,101732
"2000_104642_1_8_26",2000,8,26,-64.25,44.2166666666667,"small",0,12,15.9699993133545,"OISST",-34.2,101307
"2000_104642_10_9_28",2000,9,28,-64.25,43.2166666666667,"small",0,1,13.8899993896484,"OISST",-90.9,101732
"2000_104642_14_10_8",2000,10,8,-64.6666666666667,43.85,"small",0,24,14.0999994277954,"OISST",-52,101532
"2000_104642_5_9_11",2000,9,11,-64.2166666666667,44.2,"small",0,12.9,15.9200000762939,"OISST",-52.3,102187
"2000_104642_7_9_13",2000,9,13,-64.2166666666667,44.2,"small",0,12,15.5199995040894,"OISST",-52.3,101032
"2000_104642_8_9_15",2000,9,15,-64.25,44.2,"small",0,12,13.7599992752075,"OISST",-38.4,101035
"2000_104653_1_9_18",2000,9,18,-60.7666666666667,45.3333333333333,"small",0,10,12.6999998092651,"OISST",-41,101242
"2000_104653_11_10_5",2000,10,5,-60.4333333333333,45.3333333333333,"small",0,10,12.539999961853,"OISST",-152.5,101657
"2000_104653_15_10_13",2000,10,13,-65.4333333333333,45.3333333333333,"small",0,12,12.2599992752075,"OISST",-39.8,101485
"2000_104653_17_10_15",2000,10,15,-65.4333333333333,45.3333333333333,"small",0,2,11.2699995040894,"OISST",-39.8,101055
"2000_104653_18_10_16",2000,10,16,-65.4333333333333,45.3333333333333,"small",0,5,11.0999994277954,"OISST",-39.8,102487
"2000_104653_2_9_19",2000,9,19,-60.7666666666667,45.3333333333333,"small",0,11,13.1300001144409,"OISST",-41,101715
"2000_104653_20_10_18",2000,10,18,-60.4166666666667,45.3333333333333,"small",0,12,10.9099998474121,"OISST",-150.9,102492
"2000_104653_21_10_22",2000,10,22,-60.4333333333333,45.3333333333333,"small",0,5,11.7299995422363,"OISST",-152.5,102160
"2000_104653_3_9_20",2000,9,20,-60.4333333333333,45.3333333333333,"small",0,6,14.3699998855591,"OISST",-152.5,101130
