"Size_class","id","year","fhours","depth","sst","lon","lat","catch"
"small","2002-272701",2002,8,-500,23.89,-74.1,37.8666666666667,1
"large","2002-272701",2002,8,-500,23.89,-74.1,37.8666666666667,0
"small","2002-272702",2002,6,-130,23.89,-74.2833333333333,38.1,2
"large","2002-272702",2002,6,-130,23.89,-74.2833333333333,38.1,0
"small","2002-272709",2002,7,-104,22.22,-74.7166666666667,38.2166666666667,2
"large","2002-272709",2002,7,-104,22.22,-74.7166666666667,38.2166666666667,0
"small","2002-272911",2002,8,-120,23.89,-74.75,37.4166666666667,0
"large","2002-272911",2002,8,-120,23.89,-74.75,37.4166666666667,0
"small","2002-274001",2002,7,-150,25.56,-75.1666666666667,37,0
"large","2002-274001",2002,7,-150,25.56,-75.1666666666667,37,0
"small","2002-274303",2002,6,-250,22.78,-74,39.75,4
"large","2002-274303",2002,6,-250,22.78,-74,39.75,0
"small","2002-274601",2002,4,-132,26.67,-75.3333333333333,36.75,0
"large","2002-274601",2002,4,-132,26.67,-75.3333333333333,36.75,0
"small","2002-275201",2002,7,-120,25.56,-74.2833333333333,38.1,0
"large","2002-275201",2002,7,-120,25.56,-74.2833333333333,38.1,0
"small","2002-275601",2002,8,-120,24.44,-74.6166666666667,38.2,2
"large","2002-275601",2002,8,-120,24.44,-74.6166666666667,38.2,0
"small","2002-275602",2002,6,-3500,24.44,-74.4166666666667,37.4,3
"large","2002-275602",2002,6,-3500,24.44,-74.4166666666667,37.4,0
"small","2002-275901",2002,6,-120,21.67,-75.1666666666667,37.25,4
"large","2002-275901",2002,6,-120,21.67,-75.1666666666667,37.25,0
"small","2002-275904",2002,6,-65,NA,-75.1666666666667,37.25,5
"large","2002-275904",2002,6,-65,NA,-75.1666666666667,37.25,0
"small","2002-275909",2002,6,-120,NA,-74.75,37.4166666666667,3
"large","2002-275909",2002,6,-120,NA,-74.75,37.4166666666667,0
"small","2002-276601",2002,8,-124,22.78,-74.2833333333333,38.1,0
"large","2002-276601",2002,8,-124,22.78,-74.2833333333333,38.1,0
"small","2002-277102",2002,6,-100,22.22,-74.8333333333333,37.6666666666667,0
"large","2002-277102",2002,6,-100,22.22,-74.8333333333333,37.6666666666667,0
"small","2002-277105",2002,5,-118,23.33,-74.75,38.0833333333333,0
"large","2002-277105",2002,5,-118,23.33,-74.75,38.0833333333333,0
"small","2002-277106",2002,8,-130,23.89,-74.2833333333333,38.1,0
"large","2002-277106",2002,8,-130,23.89,-74.2833333333333,38.1,0
"small","2002-278702",2002,8,-160,20.56,-71.5833333333333,40.8333333333333,0
"large","2002-278702",2002,8,-160,20.56,-71.5833333333333,40.8333333333333,0
"small","2002-278704",2002,4,-1000,22.22,-72.5,39.6666666666667,0
"large","2002-278704",2002,4,-1000,22.22,-72.5,39.6666666666667,0
"small","2002-279505",2002,8,-140,26.67,-74.3333333333333,38.0333333333333,1
"large","2002-279505",2002,8,-140,26.67,-74.3333333333333,38.0333333333333,0
"small","2002-279507",2002,12,-130,23.33,-74.75,38.0833333333333,0
"large","2002-279507",2002,12,-130,23.33,-74.75,38.0833333333333,0
"small","2002-280404",2002,4,-130,24.44,-74.4,38.1833333333333,4
"large","2002-280404",2002,4,-130,24.44,-74.4,38.1833333333333,0
"small","2002-280405",2002,7,-125,23.89,-74.8333333333333,37.6666666666667,2
"large","2002-280405",2002,7,-125,23.89,-74.8333333333333,37.6666666666667,0
"small","2002-280406",2002,8,-140,25,-74.4666666666667,38.8166666666667,1
"large","2002-280406",2002,8,-140,25,-74.4666666666667,38.8166666666667,0
"small","2002-280407",2002,6,-120,23.89,-74.4,38.1833333333333,0
"large","2002-280407",2002,6,-120,23.89,-74.4,38.1833333333333,0
"small","2002-280408",2002,8,-150,24.44,-74.6166666666667,38.8166666666667,2
