intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,curvey,lenth,q11a,s_index,serrflag,sprobfld,id
7661,3,1,2017,06,22,027901,8100088,0,0,51,01,2103,1,VAJN2103.pdf,00109135.tif,ORIGINAL,4661,0279,9996,9996,522,6,530,0,4,,,3,129,0,,2017-027901
6633,1,1,2017,06,09,012502,8100002,0,0,51,02,2202,1,VAJN2202.pdf,00108211.tif,ORIGINAL,4661,0125,9996,9996,529,6,534,0,6,,,3,122,0,,2017-012502
6633,1,1,2017,06,04,004205,8100002,0,0,51,05,1101,1,VAJN1101.pdf,00107873.tif,ORIGINAL,4661,0042,9996,9996,532,6,553,0,6,,,3,118,0,,2017-004205
7661,3,1,2017,06,11,014005,8100088,0,0,51,05,1205,1,VAJN1205.pdf,00108310.tif,ORIGINAL,4661,0140,9996,9996,539,6,552,0,4,,,3,125,0,,2017-014005
6633,3,1,2017,06,13,016004,8100088,0,0,51,04,2114,1,VAJN2114.pdf,00108444.tif,ORIGINAL,4661,0160,9996,9996,541,6,555,0,3,,,3,123,0,,2017-016004
6633,1,1,2017,06,04,004205,8100002,0,0,51,05,1101,1,VAJN1101.pdf,00107873.tif,ORIGINAL,4661,0042,9996,9996,542,6,559,0,5,,,3,117,0,,2017-004205
7661,3,1,2017,06,22,027901,8100088,0,0,51,01,2103,1,VAJN2103.pdf,00109135.tif,ORIGINAL,4661,0279,9996,9996,545,6,555,0,5,,,3,130,0,,2017-027901
7688,1,1,2017,06,12,014402,8100002,0,0,51,02,2207,1,VAJN2207.pdf,00108343.tif,ORIGINAL,4661,0144,9996,9996,548,6,551,0,7,,,3,133,0,,2017-014402
6936,5,1,2017,06,25,032401,0471493,0,0,24,01,1104,1,MDJN1104.pdf,00109396.tif,ORIGINAL,4661,0324,9996,9996,549,6,563,0,3,,,3,113,0,,2017-032401
7661,3,1,2017,06,11,014005,8100088,0,0,51,05,1205,1,VAJN1205.pdf,00108310.tif,ORIGINAL,4661,0140,9996,9996,552,6,599,0,3,,,3,124,0,,2017-014005
7661,3,1,2017,06,16,024102,8100088,0,0,51,02,2119,1,VAJN2119.pdf,00108875.tif,ORIGINAL,4661,0241,9996,9996,557,6,563,0,4,,,3,126,0,,2017-024102
6633,1,1,2017,06,04,004202,8100091,0,0,51,02,1101,1,VAJN1101.pdf,00107867.tif,ORIGINAL,4661,0042,9996,9996,586,6,601,0,5,,,3,116,0,,2017-004202
6633,1,1,2017,06,04,004205,8100002,0,0,51,05,1101,1,VAJN1101.pdf,00107873.tif,ORIGINAL,4661,0042,9996,9996,615,6,629,0,8,,,3,119,0,,2017-004205
6555,7,1,2017,06,17,022404,0470938,0,1,24,04,1206,1,MDJN1206.pdf,00108710.tif,ORIGINAL,4661,0224,9996,9996,616,6,619,0,3,,,3,110,0,,2017-022404
7661,3,1,2017,06,22,027901,8100088,0,0,51,01,2103,1,VAJN2103.pdf,00109135.tif,ORIGINAL,4661,0279,9996,9996,656,6,658,0,2,,,3,127,0,,2017-027901
