intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,filestat,s_index,serrflag,sprobfld,id
6778,7,1,2011,06,26,029403,0010024,0,1,51,03,1108,1,vajn1108.tif,00036939.tif,1050,0294,9996,9996,904,1,9996,0,3,ORIGINAL,128,0,,2011-029403
7326,7,1,2011,06,25,025702,0470938,0,1,24,02,1111,1,mdjn1111.tif,00036543.tif,1050,0257,9996,9996,905,7,9996,2,3,ORIGINAL,58,0,,2011-025702
7392,1,1,2011,06,18,018802,8100002,0,0,51,02,1105,1,vajn1105.tif,00036031.tif,1050,0188,9996,9996,910,1,9996,0,2,ORIGINAL,142,0,,2011-018802
6013,3,1,2011,06,11,013314,0090900,0,0,34,14,1210,1,njjn1210.tif,00035672.tif,1050,0133,9996,9996,912,2,9996,0,1,ORIGINAL,62,0,,2011-013314
6936,5,1,2011,06,19,016503,0471493,0,0,24,03,1108,1,mdjn1108.tif,00035781.tif,1050,0165,9996,9996,914,2,9996,0,4,ORIGINAL,38,0,,2011-016503
6778,8,1,2011,06,24,027603,0010039,0,0,51,03,2105,1,vajn2105.tif,00036788.tif,1050,0276,9996,9996,914,1,9996,0,1,ORIGINAL,112,0,,2011-027603
6633,3,1,2011,06,22,022901,8100088,0,0,51,01,2215,1,vajn2215.tif,00036305.tif,1050,0229,9996,9996,920,2,9996,0,1,ORIGINAL,86,0,,2011-022901
6936,5,1,2011,06,19,016503,0471493,0,0,24,03,1108,1,mdjn1108.tif,00035781.tif,1050,0165,9996,9996,921,2,9996,0,3,ORIGINAL,37,0,,2011-016503
7370,3,1,2011,06,19,023002,0090900,0,0,34,02,1110,1,njjn1110.tif.tif,00036315.tif,1050,0230,9996,9996,923,1,9996,0,2,ORIGINAL,66,0,,2011-023002
6936,5,1,2011,06,22,022302,0471493,0,0,24,02,2112,1,mdjn2112.tif,00036270.tif,1050,0223,9996,9996,924,1,9996,0,3,ORIGINAL,44,0,,2011-022302
6633,1,1,2011,06,12,011001,8100091,0,0,51,01,1110,1,vajn1110.tif,00035526.tif,1050,0110,9996,9996,924,2,9996,0,4,ORIGINAL,80,0,,2011-011001
7393,1,1,2011,06,11,011205,8100002,0,0,51,05,1201,1,vajn1201.tif,00035545.tif,1050,0112,9996,9996,928,8,9996,0,3,ORIGINAL,166,0,,2011-011205
7393,1,1,2011,06,11,011203,8100002,0,0,51,03,1201,1,vajn1201.tif,00035541.tif,1050,0112,9996,9996,930,1,9996,0,1,ORIGINAL,156,0,,2011-011203
6778,8,4,2011,06,25,028204,0010039,0,1,51,04,1107,1,vajn1107.tif,00036823.tif,1050,0282,9996,9996,933,2,9996,0,3,ORIGINAL,119,0,,2011-028204
6936,5,1,2011,06,18,016304,0471493,0,0,24,04,1103,1,mdjn1103.tif,00035757.tif,1050,0163,9996,9996,938,1,9996,0,2,ORIGINAL,33,0,,2011-016304
7393,1,1,2011,06,11,011204,8100002,0,0,51,04,1201,1,vajn1201.tif,00035543.tif,1050,0112,9996,9996,939,1,9996,0,1,ORIGINAL,160,0,,2011-011204
6633,1,1,2011,06,12,011001,8100091,0,0,51,01,1110,1,vajn1110.tif,00035526.tif,1050,0110,9996,9996,941,2,9996,0,6,ORIGINAL,82,0,,2011-011001
6778,8,3,2011,06,25,028203,0010039,0,1,51,03,1107,1,vajn1107.tif,00036821.tif,1050,0282,9996,9996,942,2,9996,0,2,ORIGINAL,117,0,,2011-028203
6633,3,1,2011,06,22,022901,8100088,0,0,51,01,2215,1,vajn2215.tif,00036305.tif,1050,0229,9996,9996,944,1,9996,0,4,ORIGINAL,89,0,,2011-022901
6633,3,1,2011,06,26,025103,8100088,0,0,51,03,1208,1,vajn1208.tif,00036503.tif,1050,0251,9996,9996,947,2,9996,0,4,ORIGINAL,99,0,,2011-025103
6590,3,1,2011,06,12,011303,8100088,0,0,51,03,1204,1,vajn1204.tif,00035555.tif,1050,0113,9996,9996,948,1,9996,0,1,ORIGINAL,70,0,,2011-011303
6783,2,1,2011,06,05,002401,0051599,0,1,10,01,1101,1,dejn1101.tif,00035110.tif,1050,0024,9996,9996,951,1,9996,0,1,ORIGINAL,15,0,,2011-002401
6416,10,1,2011,06,16,017601,0290894,0,0,34,01,2206,1,njjn2206.tif,00035920.tif,1050,0176,9996,9996,956,1,9996,0,2,ORIGINAL,64,0,,2011-017601
6590,3,1,2011,06,16,017701,8100088,0,0,51,01,2206,1,vajn2206.tif,00035905.tif,1050,0177,9996,9996,956,2,9996,0,4,ORIGINAL,76,0,,2011-017701
