intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,length,species,batch,upprbill,lowerjaw,gender,curve,prep,recno,s_index,serrflag,sprobfld,id
6855,1,1,2012,06,16,019522,0590213,0,0,36,22,1121,1,nyjn1121.tif,00047728.tif,ORIGINAL,2033,3551,0195,9996,9996,2,9996,0,1,159,0,,2012-019522
6416,10,1,2012,06,22,026701,0299009,0,0,34,01,2121,1,njjn2121.tif,00048099.tif,ORIGINAL,2036,3551,0267,9996,9996,2,9996,2,1,126,0,,2012-026701
6855,1,1,2012,06,16,019503,0590213,0,0,36,03,1121,1,nyjn1121.tif,00047690.tif,ORIGINAL,2055,3551,0195,9996,9996,2,9996,0,1,150,0,,2012-019503
6013,6,1,2012,06,22,026801,0251050,0,0,34,01,2204,1,njjn2204.tif,00048105.tif,ORIGINAL,2066,3551,0268,9996,9996,2,9996,0,1,95,0,,2012-026801
6855,1,1,2012,06,16,019519,0590213,0,0,36,19,1121,1,nyjn1121.tif,00047722.tif,ORIGINAL,2072,3551,0195,9996,9996,2,9996,0,1,157,0,,2012-019519
6757,2,1,2012,06,23,027005,1030342,0,0,36,05,1105,1,nyjn1105.tif,00048137.tif,ORIGINAL,2100,3551,0270,9996,9996,2,9996,0,1,144,0,,2012-027005
6416,10,1,2012,06,24,027204,0290894,0,0,34,04,1122,1,njjn1122.tif,00048172.tif,ORIGINAL,2125,3551,0272,9996,9996,2,9996,0,1,128,0,,2012-027204
6416,6,1,2012,06,17,017802,0259125,0,0,34,02,1214,1,njjn1214.tif,00047568.tif,ORIGINAL,2128,3551,0178,9996,9996,2,9996,0,1,106,0,,2012-017802
6416,10,1,2012,06,23,026408,0290894,0,0,34,08,1117,1,njjn1117.tif,00048310.tif,ORIGINAL,2143,3551,0264,9996,9996,2,9996,0,1,114,0,,2012-026408
6416,10,1,2012,06,23,026409,0290894,0,0,34,09,1117,1,njjn1117.tif,00048312.tif,ORIGINAL,2152,3551,0264,9996,9996,2,9996,0,1,115,0,,2012-026409
6416,10,1,2012,06,24,027202,0290894,0,0,34,02,1122,1,njjn1122.tif,00048168.tif,ORIGINAL,2152,3551,0272,9996,9996,2,9996,0,1,127,0,,2012-027202
6757,4,1,2012,06,15,015205,1030085,0,0,36,05,2105,1,nyjn2105.tif,00047413.tif,ORIGINAL,2173,3551,0152,9996,9996,2,9996,0,1,139,0,,2012-015205
6416,10,1,2012,06,23,026401,0290894,0,0,34,01,1117,1,njjn1117.tif,00048296.tif,ORIGINAL,2227,3551,0264,9996,9996,2,9996,0,1,107,0,,2012-026401
6013,6,1,2012,06,23,027601,0251050,0,0,34,01,1121,1,njjn1121.tif,00048260.tif,ORIGINAL,2263,3551,0276,9996,9996,2,9996,0,1,99,0,,2012-027601
6757,2,1,2012,06,23,027001,1030342,0,0,36,01,1105,1,nyjn1105.tif,00048129.tif,ORIGINAL,2267,3551,0270,9996,9996,2,9996,0,1,141,0,,2012-027001
6013,6,1,2012,06,22,026806,0251050,0,1,34,06,2204,1,njjn2204.tif,00048115.tif,ORIGINAL,2289,3551,0268,9996,9996,2,9996,0,1,98,0,,2012-026806
6416,10,1,2012,06,23,026407,0290894,0,0,34,07,1117,1,njjn1117.tif,00048308.tif,ORIGINAL,2295,3551,0264,9996,9996,1,9996,0,1,113,0,,2012-026407
7421,1,1,2012,06,24,028402,8100091,0,1,51,02,1110,1,vajn1110.tif,00048228.tif,ORIGINAL,506,4661,0284,9996,9996,6,508,0,2,168,0,,2012-028402
7326,1,1,2012,06,22,025401,0470019,1,1,24,01,2205,1,mdjn2205.tif,00048030.tif,ORIGINAL,538,4661,0254,9996,9996,6,539,0,3,164,1,CURVE VS. LENGTH;,2012-025401
6633,1,1,2012,06,18,019204,8100002,0,0,51,04,2111,1,vajn2111.tif,00047669.tif,ORIGINAL,543,4661,0192,9996,9996,6,560,0,2,165,0,,2012-019204
6783,8,1,2012,06,23,028302,0010039,0,0,51,02,1109,1,vajn1109.tif,00048740.tif,ORIGINAL,676,4661,0283,9996,9996,6,696,0,8,167,0,,2012-028302
6783,8,1,2012,06,23,028302,0010039,0,0,51,02,1109,1,vajn1109.tif,00048740.tif,ORIGINAL,705,4661,0283,9996,9996,6,722,0,7,166,0,,2012-028302
6634,8,1,2012,06,17,019906,0230784,0,0,25,06,1106,1,majn1106.tif,00047764.tif,ORIGINAL,2181,4671,0199,9996,9996,6,2289,0,1,170,0,,2012-019906
7416,12,1,2012,06,12,013901,0190820,0,1,25,01,2134,1,majn2134.tif,00047329.tif,ORIGINAL,2362,4671,0139,9996,9996,6,9997,2,1,171,0,,2012-013901
6634,8,3,2012,06,17,019904,0230217,0,0,25,04,1106,1,majn1106.tif,00047760.tif,ORIGINAL,2413,4671,0199,9996,9996,6,2471,0,1,169,0,,2012-019904
7416,12,1,2012,06,30,034101,0190820,0,1,25,01,1107,1,majn1107.tif,00048713.tif,REVISED,1452,4678,0341,9996,9996,6,1480,2,1,172,1,CURVE;,2012-034101
7416,12,1,2012,06,30,034102,0190820,0,0,25,02,1107,1,majn1107.tif,00048715.tif,ORIGINAL,1526,4676,0341,9996,9996,6,1549,0,1,173,0,,2012-034102
6416,10,1,2012,06,18,018001,0290894,0,0,34,01,2210,1,njjn2210.tif,00047576.tif,ORIGINAL,863,4677,0180,9996,9996,6,880,2,1,178,0,,2012-018001
7326,7,1,2012,06,29,031401,0470938,0,0,24,01,2106,1,mdjn2106.tif,00048479.tif,ORIGINAL,896,4677,0314,9996,9996,6,1026,0,2,176,1,CURVE VS. LENGTH;,2012-031401
7326,7,1,2012,06,29,031402,0470938,0,0,24,02,2106,1,mdjn2106.tif,00048481.tif,ORIGINAL,956,4677,0314,9996,9996,6,1001,0,1,177,0,,2012-031402
6783,2,1,2012,06,28,031503,0051599,0,0,10,03,2209,1,dejn2209.tif,00048757.tif,ORIGINAL,1000,4677,0315,9996,9996,6,1024,0,1,174,0,,2012-031503
6936,5,1,2012,06,10,009707,0471493,0,0,24,07,1203,1,mdjn1203.tif,00047024.tif,ORIGINAL,1109,4677,0097,9996,9996,6,1130,0,1,175,0,,2012-009707
6633,1,1,2012,06,18,019202,8100091,0,0,51,02,2111,1,vajn2111.tif,00047665.tif,ORIGINAL,1199,4678,0192,9996,9996,6,1220,0,1,183,0,,2012-019202
6936,5,1,2012,06,28,030402,0471493,0,0,24,02,2104,1,mdjn2104.tif,00048409.tif,ORIGINAL,1215,4678,0304,9996,9996,6,1233,0,4,181,0,,2012-030402
7393,3,1,2012,06,18,021601,8100088,0,0,51,01,2112,1,vajn2112.tif,00047845.tif,ORIGINAL,1244,4678,0216,9996,9996,6,1257,0,2,184,0,,2012-021601
7416,12,1,2012,06,30,034103,0190820,0,1,25,03,1107,1,majn1107.tif,00048717.tif,ORIGINAL,1265,4678,0341,9996,9996,6,1295,0,1,182,0,,2012-034103
7393,3,1,2012,06,18,021601,8100088,0,0,51,01,2112,1,vajn2112.tif,00047845.tif,ORIGINAL,1288,4678,0216,9996,9996,6,1299,0,3,185,0,,2012-021601
6936,5,1,2012,06,28,030401,0471493,0,0,24,01,2104,1,mdjn2104.tif,00048407.tif,ORIGINAL,1296,4678,0304,9996,9996,6,1327,0,5,180,0,,2012-030401
6783,2,1,2012,06,28,031502,0051599,0,1,10,02,2209,1,dejn2209.tif,00048755.tif,ORIGINAL,1340,4678,0315,9996,9996,6,1365,0,1,179,0,,2012-031502
7393,1,1,2012,06,23,028507,8100002,0,0,51,07,1121,1,vajn1121.tif,00048252.tif,ORIGINAL,682,4681,0285,9996,9996,6,9996,0,1,189,0,,2012-028507
7415,3,1,2012,06,12,014602,8100088,0,1,51,02,2103,1,vajn2103.tif,00047356.tif,ORIGINAL,700,4681,0146,9996,9996,6,9996,0,3,191,0,,2012-014602
