intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
6555,7,1,2011,06,11,009701,0470938,0,0,24,01,1102,2,mdjn1102.tif,00035447.tif,YFT,4711,0097,1,1,0,0,0,0,0,ORIGINAL,119,0,,2011-009701
6555,7,1,2011,06,11,009702,0470938,0,0,24,02,1102,2,mdjn1102.tif,00035449.tif,COD,815,0097,1,1,0,0,0,0,0,ORIGINAL,120,1,CAUGHT OUT OF AREA;,2011-009702
6555,7,1,2011,06,11,009702,0470938,0,0,24,02,1102,2,mdjn1102.tif,00035449.tif,SEABASS,3350,0097,2,6,0,0,0,0,0,ORIGINAL,121,0,,2011-009702
6555,7,1,2011,06,11,009703,0470938,0,0,24,03,1102,1,mdjn1102.tif,00035451.tif,DOLPHIN,1050,0097,2,6,6,0,0,0,0,ORIGINAL,122,0,,2011-009703
6555,7,1,2011,06,11,009703,0470938,0,0,24,03,1102,1,mdjn1102.tif,00035451.tif,YFT,4711,0097,1,1,1,0,0,0,0,ORIGINAL,123,0,,2011-009703
6555,7,1,2011,06,11,009706,0470938,0,0,24,06,1102,2,mdjn1102.tif,00035455.tif,HAMMERHEAD SHARK,4950,0097,1,0,0,1,0,0,0,ORIGINAL,124,0,,2011-009706
6555,7,1,2011,06,11,009707,0470938,0,0,24,07,1102,1,mdjn1102.tif,00035457.tif,YFT,4711,0097,1,3,3,0,0,0,0,ORIGINAL,125,0,,2011-009707
6555,7,1,2011,06,11,009708,0470938,0,0,24,08,1102,2,mdjn1102.tif,00035459.tif,BFT YOUNG SCHOOL,4673,0097,1,0,0,1,0,0,0,ORIGINAL,126,0,,2011-009708
6555,7,1,2011,06,11,009710,0470938,0,0,24,10,1102,1,mdjn1102.tif,00035462.tif,BLUEFISH,230,0097,2,5,0,0,0,0,0,ORIGINAL,127,0,,2011-009710
6555,7,1,2011,06,11,009710,0470938,0,0,24,10,1102,1,mdjn1102.tif,00035462.tif,BFT SCHOOL,4677,0097,1,1,1,0,0,0,0,ORIGINAL,128,0,,2011-009710
6555,7,1,2011,06,11,009712,0470938,0,0,24,12,1102,2,mdjn1102.tif,00035465.tif,BLUEFISH,230,0097,2,12,0,0,0,0,0,ORIGINAL,129,0,,2011-009712
6555,7,1,2011,06,11,009712,0470938,0,0,24,12,1102,2,mdjn1102.tif,00035465.tif,BFT SCHOOL,4677,0097,1,1,0,4,0,0,0,ORIGINAL,130,0,,2011-009712
6555,6,1,2011,06,26,025401,0470866,1,0,24,01,1105,2,mdjn1105.tif,00036573.tif,DOLPHIN,1050,0254,1,1,0,0,0,0,0,ORIGINAL,131,0,,2011-025401
6555,6,1,2011,06,26,025402,0470866,0,0,24,02,1105,2,mdjn1105.tif,00036575.tif,DOLPHIN,1050,0254,1,1,0,0,0,0,0,ORIGINAL,132,0,,2011-025402
6555,6,1,2011,06,26,025403,0473096,0,0,24,03,1105,1,mdjn1105.tif,00036577.tif,YFT,4711,0254,1,2,2,0,0,0,0,ORIGINAL,133,0,,2011-025403
6555,6,1,2011,06,26,025404,0473096,0,0,24,04,1105,2,mdjn1105.tif,00036579.tif,DOLPHIN,1050,0254,2,0,0,3,0,0,0,ORIGINAL,134,0,,2011-025404
6555,6,1,2011,06,26,025404,0473096,0,0,24,04,1105,2,mdjn1105.tif,00036579.tif,WHITE MARLIN,2161,0254,1,0,0,2,0,0,0,ORIGINAL,135,0,,2011-025404
