tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,tracker,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
T306,34,NJ,JIMS SHARK TOURNAMENT,08,6,6,WILMINGTON CANYON,6708,34,1945,1103,1131,11,1,1,2,2,1,1900,3551,4711,1,2,5,3,0,0,1,1,0,0,0,4,3824,7327,70,370,74,2,1,1,njjn1103.tif,00035839.tif,2011,0,0,0,06,18,18796,016808,0168,0091131,009,ORIGINAL,5,771,0,,Y,2,2011-016808
6,34,NJ,6,01,6,6,BARENGAT INLET,6416,34,1610,1104,1024,8,1,2,1,3,1,1500,3531,4180,2,2,3,14,0,0,1,0,1,0,0,2,9998,9998,1,35,69,2,1,1,njjn1104.tif,00035844.tif,2011,0,0,0,06,19,18797,016901,0169,0291024,029,ORIGINAL,5,340,0,,N,2,2011-016901
6,34,NJ,6,02,6,LIVE BUNKER,OFF LONG BEACH ISLE,6416,34,1630,1104,1024,8,1,2,1,3,1,1430,4180,3531,2,2,1,8,1,0,0,0,0,1,1,6,9998,9998,2,45,68,1,1,1,njjn1104.tif,00035846.tif,2011,0,0,0,06,19,18797,016902,0169,0291024,029,ORIGINAL,5,341,1,Q23;,Y,2,2011-016902
6,34,NJ,6,03,6,6,RESOR WRECK,6416,34,1745,1104,1024,8,1,2,1,3,1,1700,3551,9996,2,2,4,3,0,0,1,0,1,0,0,5,3946,7325,35,160,72,2,1,1,njjn1104.tif,00035848.tif,2011,0,0,0,06,19,18797,016903,0169,0291024,029,ORIGINAL,5,339,0,,N,2,2011-016903
,34,NJ,LADIES BLUE FISH,01,6,6,CIGAR,7361,34,1628,1108,0385,3,1,1,2,2,1,1610,230,4677,1,2,4,8,0,1,0,1,0,0,0,4,9998,9998,29,125,74,2,1,1,njjn1108.tif,00035853.tif,2011,0,1,0,06,18,18796,017001,0170,0090385,009,ORIGINAL,5,2,1,tcode;,Y,1,2011-017001
,34,NJ,JIMS SHARK TOURNAMENT,02,6,DRIFTING,35 MI EAST,7361,34,1655,1108,0062,3,1,2,1,3,1,1600,3551,3531,1,2,5,6,0,0,1,0,0,0,1,5,9998,9998,35,160,74,2,1,1,njjn1108.tif,00035855.tif,2011,0,0,0,06,18,18796,017002,0170,0090062,009,ORIGINAL,5,1,1,tcode;,Y,2,2011-017002
,34,NJ,BRETT BAILEY MEMORIAL,01,6,6,7,6416,34,1450,1204,0279,10,1,1,2,2,1,1330,3551,9996,1,2,4,6,0,0,1,0,0,1,0,6,9999,9999,42,120,68,2,1,1,njjn1204.tif,00035874.tif,2011,0,1,0,06,18,18796,017201,0172,0290279,029,ORIGINAL,5,6,1,tcode;,Y,2,2011-017201
6,34,NJ,6,02,6,6,GLORY HOLE,6416,34,1520,1204,0279,10,1,1,2,2,1,1500,3551,4677,2,12,3,5,0,0,1,0,1,0,0,5,3957,7319,40,236,69,2,1,1,njjn1204.tif,00035876.tif,2011,0,0,0,06,18,18796,017202,0172,0290279,029,ORIGINAL,5,362,0,,Y,1,2011-017202
6,34,NJ,6,03,6,6,MUD HOLE,6416,34,1549,1204,0279,10,1,1,2,2,2,1540,3531,3551,2,1,3,8,0,0,1,0,1,1,0,4,4007,7334,23,240,71,2,1,1,njjn1204.tif,00035878.tif,2011,0,0,0,06,18,18796,017203,0172,0290279,029,ORIGINAL,5,363,0,,N,2,2011-017203
6,34,NJ,6,04,6,6,CHICKEN CANYON,6416,34,1602,1204,0894,10,1,1,2,2,7,1600,4677,4711,2,12,4,7,0,1,1,1,0,0,0,3,3952,7303,50,250,67,2,1,1,njjn1204.tif,00035880.tif,2011,0,1,0,06,18,18796,017204,0172,0290894,029,ORIGINAL,5,366,0,,N,2,2011-017204
