tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,batch,species,prep,recno,s_index,serrflag,sprobfld,id
05,9996,9996,850,1,9996,7370,11,1,2012,07,06,0091131,0,0,34,0,2211,1,njjl2211.tif,00049763.tif,ORIGINAL,0511,1050,0,1,88,0,,2012-051104
04,9996,9996,860,1,9996,7370,11,1,2012,07,07,0091131,0,1,34,0,1116,1,njjl1116.tif,00049497.tif,ORIGINAL,0459,1050,0,1,84,0,,2012-045901
07,9996,9996,860,1,9996,7421,1,1,2012,07,22,8100091,0,1,51,0,1124,1,vajl1124.tif,00051318.tif,ORIGINAL,0771,1050,0,1,173,0,,2012-077105
05,9996,9996,863,1,9996,2836,3,1,2012,07,13,8100088,0,0,51,0,2209,1,vajl2209.tif,00050227.tif,ORIGINAL,0596,1050,0,1,108,0,,2012-059604
08,9996,9996,874,1,9996,6757,2,1,2012,07,29,1030342,0,0,36,0,1120,1,nyjl1120.tif,00051749.tif,ORIGINAL,0840,1050,0,2,101,0,,2012-084005
07,9996,9996,878,1,9996,6775,3,1,2012,07,23,0110630,0,0,09,0,2107,1,ctjl2107.tif,00051304.tif,ORIGINAL,0773,1050,0,2,19,0,,2012-077301
04,9996,9996,883,2,9996,6633,3,1,2012,07,06,8100088,0,0,51,0,2112,1,vajl2112.tif,00049683.tif,ORIGINAL,0488,1050,0,3,126,0,,2012-048802
06,9996,9996,884,2,9996,6778,7,1,2012,07,01,0010024,0,0,51,0,1101,1,vajl1101.tif,00050450.tif,ORIGINAL,0612,1050,0,6,156,0,,2012-061203
08,9996,9996,885,1,9996,6778,7,1,2012,07,28,0010024,0,0,51,0,1106,1,vajl1106.tif,00052141.tif,ORIGINAL,0892,1050,0,4,164,0,,2012-089204
08,9996,9996,891,2,9996,7409,6,1,2012,07,28,0251808,0,0,34,0,1134,1,njjl1134.tif,00051725.tif,ORIGINAL,0839,1050,0,1,91,0,,2012-083904
08,9996,9996,891,2,9996,7415,1,1,2012,07,27,8100091,0,0,51,0,2106,1,vajl2106.tif,00052071.tif,ORIGINAL,0886,1050,0,1,172,0,,2012-088606
03,9996,9996,892,1,9996,6783,2,1,2012,07,07,0051599,0,0,10,0,1101,1,dejl1101.tif,00048854.tif,ORIGINAL,0367,1050,0,1,27,0,,2012-036702
05,9996,9996,902,2,9996,6783,7,1,2012,07,13,0470938,0,0,24,0,2110,1,mdjl2110.tif,00050261.tif,ORIGINAL,0597,1050,0,1,34,0,,2012-059705
