tracker,faxno,batch,ppstfips,tcode,location,stcode,returnt,siteno,intcode,hook,inttime,tifno,intdate,cluster,control,sitetype,prim_op,todayt,category,perm_ver,ppstate,prim1,prim2,tourn,tourn_name,hook_oth,lines,fhours,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,proxy,catch,interr,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,contact,filestat,docno,month,day,year,enterr,permismt,county,site_no,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
359001,NJJL1206.pdf,3590,34,6,WILMINGTON CANYON,34,1430,0900,7897,12,1540,00162948.tif,07/04/2021,3,1206,1,1,2,3,7,NJ,4711,4691,2,6,6,7,5,6,8,3824,7327,80,1200,70,2,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,01,07,04,2021,0,0,009,0090900,5,648,0,,Y,2,2021-359001
359201,CTJL1208.pdf,3592,09,6,GULLY,09,1600,3234,6773,12,1630,00162994.tif,07/04/2021,3,1208,1,1,2,2,1,CT,4676,3551,2,6,6,7,6,6,3,4100,7120,5,150,67,2,1,0,0,1,1,1,1,0,0,0,1,ORIGINAL,01,07,04,2021,0,0,011,0113234,3,172,0,,Y,1,2021-359201
359202,CTJL1208.pdf,3592,09,1410,JENNYS HORN,09,1522,0630,6773,1,1525,00162996.tif,07/04/2021,3,1208,1,1,2,2,1,CT,3551,3531,1,NIANTIC SHARK WEEK,6,3,8,6,4,4049,7133,20,200,67,2,1,0,0,1,0,0,1,1,0,0,1,ORIGINAL,02,07,04,2021,0,0,011,0110630,3,28,1,tcode;,Y,1,2021-359202
359203,CTJL1208.pdf,3592,09,6,THE GULLY,09,1700,0880,6773,2,1740,00162998.tif,07/04/2021,3,1208,1,1,2,2,2,CT,4676,9996,2,6,6,10,8,6,5,4100,7120,10,150,65,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,03,07,04,2021,0,0,011,0110880,3,173,0,,N,2,2021-359203
359301,DEJL1203.pdf,3593,10,6,WILMINGTON CANYON,10,1630,1599,6783,2,1634,00163002.tif,07/04/2021,2,1203,1,1,2,2,1,DE,4711,9996,2,6,6,9,9,6,6,3824,7327,75,600,73,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,01,07,04,2021,0,0,005,0051599,6,207,0,,Y,2,2021-359301
359302,DEJL1203.pdf,3593,10,6,HOT DOG,10,1631,1599,6783,2,1643,00163004.tif,07/04/2021,2,1203,1,1,2,2,1,DE,4711,9996,2,6,6,9,6,6,2,3806,7417,47,130,72,2,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,02,07,04,2021,0,0,005,0051599,6,209,0,,Y,2,2021-359302
359303,DEJL1203.pdf,3593,10,3860,WILMINGTON CANYON,10,1656,1599,6783,2,1700,00163006.tif,07/04/2021,2,1203,1,1,2,2,1,DE,4711,9996,1,KIDS CATCH ALL TOURNAMENT,6,8,8,6,4,3824,7327,60,600,72,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,03,07,04,2021,0,0,005,0051599,6,104,0,,Y,2,2021-359303
359304,DEJL1203.pdf,3593,10,6,WILMINGTON CANYON,10,1708,1599,6783,2,1718,00163008.tif,07/04/2021,2,1203,1,1,2,2,1,DE,4711,9996,2,6,6,10,6,6,5,3824,7327,68,600,68,2,1,1,0,1,1,1,0,0,0,0,2,ORIGINAL,04,07,04,2021,0,0,005,0051599,6,208,0,,Y,2,2021-359304
359305,DEJL1203.pdf,3593,10,6,BALTIMORE CANYON,10,1715,1599,6783,2,1722,00163010.tif,07/04/2021,2,1203,1,1,2,2,1,DE,4711,9996,2,6,6,8,9,6,4,3814,7350,75,500,72,2,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,05,07,04,2021,0,0,005,0051599,6,210,0,,Y,2,2021-359305
359306,DEJL1203.pdf,3593,10,3860,BALTIMORE CANYON,10,1732,1599,6783,2,1740,00163012.tif,07/04/2021,2,1203,1,2,1,3,1,DE,4711,9996,1,KIDS CATCH ALL TOURNAMENT,6,8,8,6,6,3814,7350,68,900,71,2,1,0,0,1,1,1,0,0,0,0,2,ORIGINAL,06,07,04,2021,0,0,005,0051599,6,105,0,,Y,1,2021-359306
359307,DEJL1203.pdf,3593,10,3860,BALTIMORE CANYON,10,1746,1599,6783,2,1751,00163014.tif,07/04/2021,2,1203,1,1,2,2,1,DE,4711,9996,1,KIDS CATCH ALL TOURNAMENT,6,8,8,6,4,3814,7350,60,600,98,2,1,1,0,1,1,1,0,0,0,0,2,ORIGINAL,07,07,04,2021,0,0,005,0051599,6,106,0,,Y,2,2021-359307
359308,DEJL1203.pdf,3593,10,3860,WILMINGTON CANYON,10,1821,1599,6783,2,1846,00163016.tif,07/04/2021,2,1203,1,1,2,2,1,DE,4711,9996,1,KIDS CATCH ALL TOURNAMENT,6,8,8,6,3,3824,7327,75,1000,71,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,08,07,04,2021,0,0,005,0051599,6,103,0,,Y,1,2021-359308
359401,MAJL2117.pdf,3594,25,6,S JEFFREYS LEDGE,25,1945,9242,7633,2,2005,00163020.tif,07/05/2021,33,2117,4,1,2,1,1,MA,4671,9996,2,6,6,3,14,6,2,4255,7010,4,180,64,2,1,0,1,0,0,0,0,0,1,0,1,ORIGINAL,01,07,05,2021,0,0,009,0099242,2,514,0,,Y,2,2021-359401
359501,MDJL2203.pdf,3595,24,6,BALTIMORE CANYON,24,1551,0853,7844,2,1555,00163024.tif,07/05/2021,3,2203,1,2,1,3,1,MD,4711,9996,2,6,6,11,7,6,6,3814,7350,59,600,74,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,01,07,05,2021,0,0,047,0470853,6,424,0,,Y,1,2021-359501
359502,MDJL2203.pdf,3595,24,6,BALTIMORE CANYON,24,1621,0853,7844,12,1625,00163026.tif,07/05/2021,3,2203,1,2,1,3,1,MD,4711,9996,2,6,6,12,5,6,5,3814,7350,60,300,73,2,1,0,0,1,1,1,0,1,0,0,1,ORIGINAL,02,07,05,2021,0,0,047,0470853,6,421,0,,Y,2,2021-359502
