tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
17,6583,17,1,2011,10,23,0259031,1,0,25,0,1117,2,maoc1117.tif,00046125.tif,COD,815,1711,1,3,3,0,0,0,0,ORIGINAL,115,1,CAUGHT OUT OF AREA;,2011-171103
17,6583,17,1,2011,10,23,0259031,1,0,25,0,1117,2,maoc1117.tif,00046125.tif,CUSK,960,1711,4,0,0,1,0,0,0,ORIGINAL,116,1,ALIVE;,2011-171103
17,6583,17,1,2011,10,23,0259031,1,0,25,0,1117,2,maoc1117.tif,00046125.tif,HADDOCK,1479,1711,2,2,2,0,0,0,0,ORIGINAL,117,0,,2011-171103
17,6583,17,1,2011,10,23,0259031,1,0,25,0,1117,2,maoc1117.tif,00046125.tif,SPINY DOGFISH,3521,1711,3,0,0,12,0,0,0,ORIGINAL,118,0,,2011-171103
17,6583,17,1,2011,10,23,0090860,0,0,25,0,1117,2,maoc1117.tif,00046127.tif,COD,815,1711,2,0,0,1,0,0,0,ORIGINAL,119,1,CAUGHT OUT OF AREA;,2011-171104
17,6583,17,1,2011,10,23,0090860,0,0,25,0,1117,2,maoc1117.tif,00046127.tif,SPINY DOGFISH,3521,1711,1,0,0,1,0,0,0,ORIGINAL,120,0,,2011-171104
16,6634,23,3,2011,10,08,0239223,0,0,25,0,1110,1,maoc1110.tif,00045783.tif,BLUEFISH,230,1632,2,0,0,2,0,0,0,ORIGINAL,121,0,,2011-163201
16,6634,23,3,2011,10,08,0239223,0,0,25,0,1110,1,maoc1110.tif,00045783.tif,BFT LARGE SCH,4678,1632,1,1,1,0,0,0,0,ORIGINAL,122,0,,2011-163201
16,6634,23,3,2011,10,08,0239223,0,1,25,0,1110,2,maoc1110.tif,00045785.tif,COD,815,1632,1,0,0,1,0,0,0,ORIGINAL,123,1,CAUGHT OUT OF AREA;,2011-163202
16,6634,23,3,2011,10,08,0239223,0,1,25,0,1110,2,maoc1110.tif,00045785.tif,POLLOCK,2695,1632,3,2,0,0,0,0,0,ORIGINAL,124,0,,2011-163202
16,6634,23,3,2011,10,08,0239223,0,1,25,0,1110,2,maoc1110.tif,00045785.tif,SPINY DOGFISH,3521,1632,2,0,0,10,0,0,0,ORIGINAL,125,0,,2011-163202
16,6634,8,1,2011,10,09,0230784,0,1,25,0,1201,2,maoc1201.tif,00045863.tif,BFT SMALL MED,4676,1650,2,0,0,1,0,0,0,ORIGINAL,126,0,,2011-165005
16,6634,8,1,2011,10,09,0230784,0,1,25,0,1201,2,maoc1201.tif,00045863.tif,BFT LARGE MED,4679,1650,1,1,0,0,0,1,0,ORIGINAL,127,0,,2011-165005
16,6634,8,1,2011,10,09,0230784,0,0,25,0,1201,2,maoc1201.tif,00045867.tif,BLUE SHARK,4931,1650,1,0,0,1,0,0,0,ORIGINAL,128,0,,2011-165008
16,6634,8,3,2011,10,09,0230217,0,0,25,1,1201,2,maoc1201.tif,00045871.tif,BLUEFISH,230,1650,1,2,0,0,0,0,0,ORIGINAL,129,0,,2011-165011
16,6634,8,1,2011,10,09,0230218,0,0,25,1,1201,2,maoc1201.tif,00045873.tif,POLLOCK,2695,1650,1,3,0,0,0,0,0,ORIGINAL,130,0,,2011-165012
16,6634,8,1,2011,10,09,0230218,0,0,25,1,1201,1,maoc1201.tif,00045875.tif,BFT LARGE MED,4679,1650,1,1,1,0,0,1,0,ORIGINAL,131,0,,2011-165013
17,6634,8,1,2011,10,22,0230218,0,0,25,0,1212,1,maoc1212.tif,00046157.tif,COD,815,1717,3,1,1,0,0,0,0,ORIGINAL,132,1,CAUGHT OUT OF AREA;,2011-171702
17,6634,8,1,2011,10,22,0230218,0,0,25,0,1212,1,maoc1212.tif,00046157.tif,SPINY DOGFISH,3521,1717,4,0,0,2,0,0,0,ORIGINAL,133,0,,2011-171702
17,6634,8,1,2011,10,22,0230218,0,0,25,0,1212,1,maoc1212.tif,00046157.tif,BFT SCHOOL,4677,1717,1,1,1,1,0,0,0,ORIGINAL,134,0,,2011-171702
17,6634,8,1,2011,10,22,0230218,0,0,25,0,1212,1,maoc1212.tif,00046157.tif,BFT LARGE SCH,4678,1717,2,1,1,1,0,0,0,ORIGINAL,135,0,,2011-171702
